,data,description,cluster
4115,world hepatitis alliance,world hepatitis alliance,0
10402,actual virus,actual virus,0
4654,delta virus infection,delta virus infection,0
5403,virus shedding,virus shedding,0
4657,acute nonfulminant hepatitis b cases,acute nonfulminant hepatitis b cases,0
4659,fulminant hepatitis b cases,fulminant hepatitis b cases,0
4660,chronic hepatitis b cases,chronic hepatitis b cases,0
3063,rift valley fever virus,rift valley fever virus,0
3065,zika virus,zika virus,0
3074,hepatitis c.,hepatitis c.,0
5394,virus multiplies,virus multiplies,0
3093,virus families,virus families,0
3095,b,b,0
3096,c,c,0
5783,virus symptoms,virus symptoms,0
497,high mortality rate,high mortality rate,0
8329,influenza c,infectious disease,0
8326,reduced rate,reduced rate,0
10438,global mortality,global mortality,0
8322,influenza b serotype,infectious disease,0
8320,b infection,b infection,0
9935,run rate,run rate,0
8315,influenza b viruses,infectious disease,0
4153,hepatitis c infection,hepatitis c infection,0
9087,respiratory syncytial virus predominant effect,respiratory syncytial virus predominant effect,0
4148,acute hepatitis c,acute hepatitis c,0
7147,average casefatality rate,average casefatality rate,0
6358,2013.each virus subtype,2013.each virus subtype,0
3034,enveloped rna virus,structural class chemical compounds,0
3033,nipah virus,nipah virus,0
5701,h5n2 virus,h5n2 virus,0
2928,chronic hepatitis c virus,chronic hepatitis c virus,0
7476,trivalent virus vaccines,trivalent virus vaccines,0
2344,rate,rate,0
2949,genotype 1 chronic hepatitis c infection,genotype 1 chronic hepatitis c infection,0
4248,hepatitis c andtheblood stestingpositivedependingon method,hepatitis c andtheblood stestingpositivedependingon method,0
2961,hepatitis c. deleobuvir,chemical compound,0
2962,nonnucleoside hepatitis c virus ns5b polymerase inhibitor,group class enzymes,0
587,mortality,mortality,0
9994,hepatitis c. similarly,hepatitis c. similarly,0
2973,semliki forest virus,semliki forest virus,0
2974,junin virus,junin virus,0
4732,geographicallydistinct mortality patterns,geographicallydistinct mortality patterns,0
2976,measles virus,infectious disease france,0
10369,mortality figures,mortality figures,0
4622,hepatitis d.lábrea fever,hepatitis d.lábrea fever,0
