,data,description,cluster
5431,cell cytoplasm,cell cytoplasm,0
5283,newly emerging strains,newly emerging strains,0
5284,h3n2 virusthatwerecollectedacrosssixcontinentsfrom2002to2007bythewho sglobalinfluenzasurveillancenetworkshowedthenewlyemergingstrainsofh3n2appearedin east southeast asian countries,subtype,0
5285,additional months,additional months,0
5288,swine populations,swine disease,0
5295,swine farms,swine disease,0
5298,strong serologic crossreactions,strong serologic crossreactions,0
5303,closeness,closeness,0
5312,graphic,graphic,0
5323,h3n2 subtype,subtype,0
5326,2004–05 trivalent,2004–05 trivalent,0
5333,related biological products advisory committee,related biological products advisory committee,0
5341,2009–2010 season,2009–2010 season,0
5359,mules,mules,0
5360,zebras,zebras,0
5363,north south america,north south america,0
5364,massive outbreaks,massive outbreaks,0
5375,quarter,quarter,0
5436,necrosis,necrosis,0
5434,hyperemia,hyperemia,0
10861,2013 genes,2013 genes,0
5427,binding,binding,0
5424,infecting dose,infecting dose,0
5423,mucus,mucus,0
5276,b. measured resistance,b. measured resistance,0
5422,mucopolysaccharides,mucopolysaccharides,0
5418,embeds,embeds,0
5411,7 days,7 days,0
5410,typically 1–3 days,typically 1–3 days,0
5395,epithelial cells,epithelial cells,0
5387,direct contact,direct contact,0
5380,h2n2 subtype,wikimedia disambiguation page,0
5421,glycoproteins,structural class chemical compounds,0
5260,isolatefujian flustrains,isolatefujian flustrains,0
5254,nonimmune partially immune population,nonimmune partially immune population,0
5252,threat,threat,0
5163,smithsonian magazine,smithsonian magazine,0
5158,variant,variant,0
5155,european centre,european centre,0
5153,20.5%,20.5%,0
5152,chinese ministry,chinese ministry,0
5150,nasal swabs,nasal swabs,0
5166,pig populations,pig populations,0
5144,chinese cdc,chinese cdc,0
5139,close monitoring,close monitoring,0
5134,national academy,national academy,0
5131,variant genotype,variant genotype,0
5114,lahore,city big city city millions inhabitants administrative territorial entity,0
5112,multan,city big city city millions inhabitants,0
5108,help,help,0
5140,swine working populations,swine disease,0
5439,basement membrane,basement membrane,0
5171,oman,emoji regional indicator sequence,0
5188,coastal cities,coastal cities,0
5250,potential marker,potential marker,0
5249,increased il6 levels,increased il6 levels,0
5246,interferongamma,interferongamma,0
5241,nasal oral swabs,nasal oral swabs,0
5230,cynomolgus macaques,cynomolgus macaques,0
5226,particular humans,infectious disease france,0
5172,malaysia,emoji regional indicator sequence,0
5224,mammalian receptor,mammalian receptor,0
5221,transmits,transmits,0
5220,prior adaptation,prior adaptation,0
5216,national institutes,national institutes,0
5208,vials,vials,0
5207,u.s. government,u.s. government,0
5204,cincinnati,big city city united states county seat,0
5222,adaptation,adaptation,0
5443,102.5 105.0 f frequent dry cough,102.5 105.0 f frequent dry cough,0
5450,equine1,equine1,0
5451,2 serum,2 serum,0
5677,inactivated h5n2,inactivated h5n2,0
5667,uninfected ones,uninfected ones,0
5660,ron fouchier,ron fouchier,0
5657,arctic temperatures,arctic temperatures,0
5655,6 days,6 days,0
5653,bodily fluids,bodily fluids,0
5681,ibaraki prefecture,ibaraki prefecture,0
5650,longer periods,longer periods,0
5644,wild aquatic birds,wild aquatic birds,0
5639,bird population,taxon,0
5630,antigenic drift,antigenic drift,0
5627,specific known genetic variation,specific known genetic variation,0
5618,infected poultry manure,organisms known particular common,0
5616,domestic poultry,organisms known particular common,0
5648,bird populations,taxon,0
5607,contagiousness,contagiousness,0
5684,ibaraki prefectural government,ibaraki prefectural government,0
5690,central federal district,central federal district,0
5721,south african commercial ostrich industry,south african commercial ostrich industry,0
5719,south africa ostriches,continent,0
5718,destruction,destruction,0
5712,sri lanka outbreak,sri lanka outbreak,0
5709,h5n2 outbreaks,h5n2 outbreaks,0
5708,ibaraki,ibaraki,0
5689,kostroma oblast,kostroma oblast,0
5705,saitama prefecture,saitama prefecture,0
5696,dispersion,dispersion,0
5695,forage wasn tthermallydisinfectedbefore dispersion,forage wasn tthermallydisinfectedbefore dispersion,0
5694,forage,forage,0
5693,factory,factory,0
5692,chickens combs,chicken gallus gallus domesticus common,0
5691,owners,owners,0
5699,quarantine officials,quarantine officials,0
5107,official request,official request,0
5604,animal,taxon,0
5601,federal government.together steps,federal government.together steps,0
5531,intervention,intervention,0
5527,international herald tribune,international herald tribune,0
5519,united nations,united nations,0
5514,poultry sales,organisms known particular common,0
5511,u.s. dollars,u.s. dollars,0
5507,significant effect,significant effect,0
5532,shuangqing district,shuangqing district,0
5505,entire domestic poultry population,organisms known particular common,0
5496,focus,focus,0
5494,flocks,flocks,0
